epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,3233.56,0.01758,1.45389,1.56774,0.9774,0.9017,0.95953,0.65514,0.01706,0.91113,1.40935,0.0012438,0.0012438,0.0012438
59,3288.83,0.01756,1.43968,1.54802,0.95141,0.90926,0.95329,0.629,0.01826,0.92269,1.47883,0.00123053,0.00123053,0.00123053
60,3343.9,0.0172,1.40908,1.53813,0.96873,0.90359,0.95,0.64248,0.01735,0.9401,1.42678,0.00121727,0.00121727,0.00121727
61,3398.23,0.0174,1.40993,1.52759,0.96382,0.89603,0.95183,0.65544,0.01713,0.93034,1.42087,0.001204,0.001204,0.001204
62,3452.34,0.01739,1.40664,1.54941,0.95386,0.91871,0.95637,0.64272,0.01756,0.92493,1.44828,0.00119073,0.00119073,0.00119073
63,3508.01,0.01725,1.42007,1.53297,0.97567,0.89036,0.95312,0.64805,0.01715,0.92384,1.42387,0.00117747,0.00117747,0.00117747
64,3562.67,0.01726,1.39339,1.53993,0.95057,0.91115,0.95316,0.64107,0.01781,0.92394,1.47024,0.0011642,0.0011642,0.0011642
65,3617.7,0.01722,1.38543,1.53075,0.98132,0.89371,0.95392,0.65872,0.01706,0.88627,1.42713,0.00115093,0.00115093,0.00115093
66,3675.06,0.01725,1.40082,1.54075,0.96777,0.90807,0.95715,0.63931,0.01755,0.89348,1.45669,0.00113767,0.00113767,0.00113767
67,3731.15,0.01718,1.3657,1.54126,0.94757,0.92241,0.95685,0.64725,0.01709,0.87574,1.42257,0.0011244,0.0011244,0.0011244
68,3787.97,0.01717,1.35248,1.52301,0.96024,0.91304,0.95198,0.65976,0.01699,0.90989,1.4151,0.00111113,0.00111113,0.00111113
69,3843.99,0.01702,1.34648,1.51053,0.95658,0.9162,0.95856,0.66062,0.01681,0.88619,1.39531,0.00109787,0.00109787,0.00109787
70,3899.47,0.01718,1.36466,1.53055,0.95837,0.90359,0.95756,0.66889,0.0167,0.86179,1.40012,0.0010846,0.0010846,0.0010846
71,3957.51,0.01695,1.35972,1.50213,0.9659,0.90359,0.95369,0.61924,0.01883,0.92037,1.53148,0.00107133,0.00107133,0.00107133
72,4014.35,0.01704,1.35563,1.52052,0.96751,0.91115,0.96024,0.67324,0.01674,0.85951,1.39209,0.00105807,0.00105807,0.00105807
73,4071.31,0.01712,1.34647,1.52463,0.95287,0.91493,0.95293,0.66677,0.01671,0.87568,1.39468,0.0010448,0.0010448,0.0010448
74,4127.44,0.01715,1.3661,1.53048,0.96116,0.91871,0.95286,0.63844,0.01792,0.86514,1.47435,0.00103153,0.00103153,0.00103153
75,4184.26,0.01691,1.33257,1.52557,0.97503,0.89792,0.95462,0.67094,0.01667,0.83018,1.40259,0.00101827,0.00101827,0.00101827
76,4240.71,0.01675,1.30443,1.50359,0.96605,0.91437,0.95994,0.66995,0.01687,0.8547,1.39856,0.001005,0.001005,0.001005
77,4296.29,0.0169,1.29508,1.50357,0.95815,0.89981,0.95007,0.64725,0.0175,0.87321,1.44847,0.000991733,0.000991733,0.000991733
78,4352.23,0.01676,1.31102,1.50881,0.96802,0.91871,0.95802,0.65814,0.01725,0.85269,1.42773,0.000978467,0.000978467,0.000978467
79,4406.78,0.01686,1.31947,1.51908,0.94747,0.9206,0.9523,0.67332,0.01663,0.84473,1.40056,0.0009652,0.0009652,0.0009652
80,4462.38,0.01689,1.31223,1.52043,0.94477,0.92628,0.9583,0.65898,0.01715,0.85671,1.41866,0.000951933,0.000951933,0.000951933
81,4517.53,0.01664,1.28496,1.50197,0.95998,0.90683,0.9557,0.66177,0.017,0.84025,1.42178,0.000938667,0.000938667,0.000938667
82,4572.57,0.01677,1.30052,1.50391,0.97482,0.91871,0.96256,0.66561,0.01694,0.83011,1.40816,0.0009254,0.0009254,0.0009254
83,4628.29,0.01663,1.28639,1.49392,0.96175,0.90298,0.95376,0.67107,0.01667,0.84676,1.38811,0.000912133,0.000912133,0.000912133
84,4683.16,0.01671,1.29242,1.50268,0.95692,0.92377,0.95915,0.67598,0.01668,0.8546,1.39613,0.000898867,0.000898867,0.000898867
85,4737.66,0.01686,1.30075,1.51471,0.97021,0.91493,0.9572,0.65733,0.01726,0.84929,1.43058,0.0008856,0.0008856,0.0008856
86,4793.66,0.01681,1.28425,1.50509,0.97539,0.91871,0.96149,0.66425,0.01699,0.83609,1.41484,0.000872333,0.000872333,0.000872333
87,4848.5,0.01667,1.28558,1.51384,0.97182,0.91274,0.96068,0.66789,0.01698,0.83416,1.40895,0.000859067,0.000859067,0.000859067
88,4903.15,0.01681,1.29435,1.50941,0.9604,0.91682,0.95454,0.6581,0.01718,0.86586,1.41166,0.0008458,0.0008458,0.0008458
89,4957.91,0.0164,1.25252,1.48308,0.95527,0.93762,0.96433,0.67932,0.01665,0.8099,1.39792,0.000832533,0.000832533,0.000832533
90,5013.07,0.01646,1.26026,1.49022,0.97192,0.91618,0.96197,0.67429,0.01689,0.80324,1.41424,0.000819267,0.000819267,0.000819267
91,5067.74,0.01642,1.26047,1.47771,0.95723,0.92628,0.96161,0.68348,0.01647,0.81181,1.38043,0.000806,0.000806,0.000806
92,5129.81,0.01636,1.24535,1.4757,0.96478,0.93204,0.9657,0.67717,0.01656,0.82678,1.40168,0.000792733,0.000792733,0.000792733
93,5194.68,0.01643,1.24441,1.48762,0.96155,0.92628,0.96224,0.66974,0.01671,0.80994,1.39553,0.000779467,0.000779467,0.000779467
94,5260.11,0.01645,1.24457,1.49212,0.96604,0.92628,0.96251,0.67927,0.01652,0.795,1.38127,0.0007662,0.0007662,0.0007662
95,5315.46,0.01629,1.23992,1.472,0.95543,0.93195,0.96121,0.67291,0.01662,0.79209,1.39363,0.000752933,0.000752933,0.000752933
96,5370.48,0.0162,1.22234,1.4821,0.97792,0.91304,0.96178,0.6686,0.01689,0.80491,1.39881,0.000739667,0.000739667,0.000739667
97,5424.89,0.0164,1.21756,1.48177,0.95356,0.93162,0.96128,0.6833,0.01634,0.78894,1.37117,0.0007264,0.0007264,0.0007264
98,5479.35,0.01612,1.24945,1.46552,0.97226,0.9206,0.96039,0.67861,0.01653,0.82153,1.38435,0.000713133,0.000713133,0.000713133
99,5534.37,0.01619,1.22221,1.46593,0.96817,0.91989,0.95996,0.67352,0.01664,0.80228,1.39688,0.000699867,0.000699867,0.000699867
100,5590.2,0.01624,1.21772,1.47494,0.97106,0.91682,0.95948,0.67958,0.0163,0.79362,1.37411,0.0006866,0.0006866,0.0006866
101,5646.85,0.01633,1.21467,1.46948,0.97227,0.92807,0.96248,0.68048,0.01644,0.78831,1.37877,0.000673333,0.000673333,0.000673333
102,5703.39,0.01622,1.19824,1.46405,0.97697,0.92817,0.96334,0.68068,0.0165,0.79207,1.37468,0.000660067,0.000660067,0.000660067
103,5759.55,0.01625,1.2302,1.47235,0.97782,0.91871,0.9624,0.68167,0.01635,0.80468,1.37026,0.0006468,0.0006468,0.0006468
104,5815.79,0.01623,1.22436,1.4751,0.95699,0.92537,0.96115,0.67822,0.0165,0.80264,1.37814,0.000633533,0.000633533,0.000633533
105,5871.22,0.01607,1.18863,1.46148,0.97279,0.91682,0.96212,0.68192,0.0164,0.80627,1.37127,0.000620267,0.000620267,0.000620267
106,5928.95,0.01623,1.21539,1.46921,0.96182,0.93195,0.96202,0.68459,0.01633,0.79429,1.37247,0.000607,0.000607,0.000607
107,5986.65,0.01585,1.15102,1.457,0.96643,0.92817,0.96186,0.68426,0.01665,0.78908,1.39625,0.000593733,0.000593733,0.000593733
108,6044.47,0.01595,1.17034,1.46728,0.96713,0.93384,0.96359,0.69131,0.01641,0.77751,1.37706,0.000580467,0.000580467,0.000580467
109,6100.94,0.01597,1.1537,1.4517,0.969,0.91493,0.95994,0.68653,0.0164,0.7858,1.37406,0.0005672,0.0005672,0.0005672
